article_id,article_title,abstract_text,annotations
38267805,Long-Term Efficacy and Tolerability of PCSK9 Targeted Therapy: A Review of the Literature.,"Increased plasma levels of low-density lipoprotein cholesterol (LDL-C) are causally associated with atherosclerotic cardiovascular disease (ASCVD), and statins that lower LDL-C have been the cornerstone of ASCVD prevention for decades. However, guideline-recommended LDL-C targets are not achieved in about 60% of statin users. Proprotein convertase subtilisin/kexin type 9 (PCSK9)-targeted therapy effectively lowers LDL-C levels and has been shown to reduce ASCVD risk. A growing body of scientific and clinical evidence shows that PCSK9-targeted therapy offers an excellent safety and tolerability profile with a low incidence of side effects in the short term. In this review, we present and discuss the current clinical and scientific evidence pertaining to the long-term efficacy and tolerability of PCSK9-targeted therapy.","[('atherosclerotic cardiovascular disease', 'disease', 100, 138), ('ascvd', 'disease', 140, 145), ('ascvd', 'disease', 206, 211), ('ascvd', 'disease', 460, 465)]"
38269860,A Quantitative Analysis of Patient-Facing Technologies for Patient Self-Reporting.,"Dramatic improvements in patient-facing technologies have demonstrated the potential to transform healthcare delivery for a 360-degree holistic view of care. A key question regarding how such technologies affect patient self-reporting still needs to be answered. This study presents the technologies and their associated key variables via quantitative analysis. Associations were found between single-platform and web-based applications (apps), Android apps and physician view, mental health disease, and user feedback. The results are intended to inform future design, development, and evaluation of patient-facing technologies. More systematic, theory-driven, framework-based design and evaluation are necessary to fully characterize the effectiveness and maintenance of patient-facing technologies toward a sustainable strategy.","[('mental health disease', 'disease', 478, 499)]"
38266303,Case Report: Borderline Lepromatous Leprosy Therapy Complicated by Type 1 Leprosy Reaction and Adverse Reactions with Dapsone and Clofazimine.,"Leprosy is a global health issue, causing long-term functional morbidity and stigma. Rapid diagnosis and appropriate treatment are important; however, early diagnosis is often challenging, especially in nonendemic areas. Here, we report a case of borderline lepromatous leprosy accompanied by dapsone-induced (neutropenia, anemia, and methemoglobinemia) and clofazimine-induced (skin discoloration and ichthyosis) side effects and type 1 leprosy reactions during administration of the multidrug therapy. The patient completely recovered without developing any deformities or visual impairment. To ensure early diagnosis and a favorable outcome, clinicians should be aware of the diminished sensation of skin lesions as a key physical finding and manage the drug toxicities and leprosy reactions appropriately in patients on multidrug therapy.","[('leprosy', 'disease', 0, 7), ('borderline lepromatous leprosy', 'disease', 247, 277), ('neutropenia', 'disease', 310, 321), ('anemia', 'disease', 323, 329), ('methemoglobinemia', 'disease', 335, 352), ('skin discoloration', 'disease', 379, 397), ('ichthyosis', 'disease', 402, 412), ('type 1 leprosy', 'disease', 431, 445), ('deformities', 'disease', 560, 571), ('visual impairment', 'disease', 575, 592), ('skin lesions', 'disease', 703, 715), ('leprosy', 'disease', 777, 784)]"
38265706,Host-Pathogen Interaction: Biology and Public Health.,"Interactions between host and pathogenic microorganisms are common in nature and have a significant impact on host health, often leading to several types of infections. These interactions have evolved as a result of the ongoing battle between the host's defense mechanisms and the pathogens' invasion strategies. In this chapter, we will explore the evolution of host-pathogen interactions, explore their molecular mechanisms, examine the different stages of interaction, and discuss the development of pharmacological treatments. Understanding these interactions is crucial for improving public health, as it enables us to develop effective strategies to prevent and control infectious diseases. By gaining insights into the intricate dynamics between pathogens and their hosts, we can work towards reducing the burden of such diseases on society.","[('infectious diseases', 'disease', 676, 695)]"
38266112,Genome-Wide Genetic Associations Prioritize Evaluation of Causal Mechanisms of Atherosclerotic Disease Risk.,"The goal of this review is to discuss the implementation of genome-wide association studies to identify causal mechanisms of vascular disease risk.The history of genome-wide association studies is described, the use of imputation and the creation of consortia to conduct meta-analyses with sufficient power to arrive at consistent associated loci for vascular disease. Genomic methods are described that allow the identification of causal variants and causal genes and how they impact the disease process. The power of single-cell analyses to promote genome-wide association studies of causal gene function is described.Genome-wide association studies represent a paradigm shift in the study of cardiovascular disease, providing identification of genes, cellular phenotypes, and disease pathways that empower the future of targeted drug development.","[('vascular disease', 'disease', 125, 141), ('vascular disease', 'disease', 351, 367), ('cardiovascular disease', 'disease', 695, 717)]"
38267799,"Multifocal emphysematous osteomyelitis, a do not miss diagnosis for the emergency radiologist: a case report with literature review.","Emphysematous osteomyelitis (EO) is an uncommon fatal condition with high morbidity and mortality. Simultaneous involvement of the axial and appendicular skeleton with multifocal disease is even rarer, with only a few cases being reported in the literature. We present a case of multifocal emphysematous osteomyelitis in a 56-year-old woman with concurrent emphysematous pyelonephritis complicated by psoas and epidural abscesses. The causative organism in our patient was Escherichia coli. Emergency radiologists should be aware of this condition and differentiate it from other benign entities that can present with intraosseous gas. Prompt diagnosis is important given the high morbidity and mortality with this condition. This case report emphasizes the specific pattern of intraosseous gas seen with EO, which can help diagnose EO with confidence.","[('emphysematous osteomyelitis', 'disease', 0, 27), ('eo', 'disease', 29, 31), ('multifocal disease', 'disease', 168, 186), ('multifocal emphysematous osteomyelitis', 'disease', 279, 317), ('emphysematous pyelonephritis', 'disease', 357, 385), ('psoas and epidural abscesses', 'disease', 401, 429), ('eo', 'disease', 805, 807), ('eo', 'disease', 833, 835)]"
38265375,"Disease X: Beyond Fear, Toward Preparedness.","In recent years, there has been a growing concern regarding the increasing incidence of infectious diseases with potential global transmission [1]. The World Health Organization (WHO) coined the phrase ""Disease X"" to denote a theoretical infectious disease that has not yet been detected but has the capacity to cause a global pandemic. Disease X denotes an unidentified pathogenic agent with the potential to instigate a forthcoming global outbreak [2]. Commencing with a convened gathering on the 18th of November 2022, the WHO has initiated a comprehensive assembly of more than 300 esteemed experts. The primary objective of this assembly is to meticulously examine the available information pertaining to over 25 virus families, bacteria, and a hypothetical pathogen referred to as ""Disease X."" The initial publication of the list occurred in 2017.","[('infectious diseases', 'disease', 88, 107), ('infectious disease', 'disease', 238, 256)]"
38262720,De-escalating radiotherapy in HPV-positive oropharyngeal squamous cell carcinoma: how much is too little?,"Oropharyngeal squamous cell carcinoma (OPSCC) had a rapidly increasing incidence rate in high-income countries, with a significant increase in cases related to human papilloma virus (HPV). HPV-positive (HPV+) OPSCC has shown better survival rates compared with HPV-negative (HPV-) cases, prompting investigations into de-escalation strategies to reduce or change chemoradiotherapy protocols. We present a case of a patient with HPV+ OPSCC who discontinued chemoradiotherapy after 2 weeks, effectively receiving a de-escalated dose of 18 Gy over nine fractions and only one cycle of cisplatin, subsequently undergoing curative surgical resection with no residual disease in the radiotherapy field 14 years later. This case challenges the concept of standard radiotherapy dosing in HPV+ OPSCC and discusses the implications on future de-escalation trials.","[('oropharyngeal squamous cell carcinoma', 'disease', 0, 37), ('opscc', 'disease', 39, 44), ('opscc', 'disease', 209, 214), ('opscc', 'disease', 433, 438), ('opscc', 'disease', 785, 790)]"
38262218,Case report: Distraction osteogenesis of focal fibrocartilaginous dysplasia and literature review.,"Focal fibrocartilaginous dysplasia (FFCD) is a rare disease of the ulna that requires early surgical intervention.We present a juvenile case and the outcomes of a corrected deformity. The fibrotic band that adhered to the ulna was resected, the ulna was osteotomized, and then an external fixator was placed for lengthening. The ulna's distal physis line was extended by 18 mm so that it would be the same length as the distal physis line of the radius. Full functional recovery occurred within three months.There have been 22 cases of ulnar FFCD reported in the literature. Our patient is the oldest reported thus far who developed radial head subluxation, but no dislocation occurred.FFCD is a broad-spectrum disease. Although its course is generally poor for patients with a late diagnosis, it is possible to obtain good results with correction procedures.","[('focal fibrocartilaginous dysplasia', 'disease', 0, 34), ('ffcd', 'disease', 36, 40), ('ffcd', 'disease', 542, 546), ('radial head subluxation', 'disease', 633, 656), ('ffcd', 'disease', 686, 690)]"
38269048,A Multinational Case Series Describing Successful Treatment of Persistent Severe Acute Respiratory Syndrome Coronavirus 2 Infection Caused by Omicron Sublineages With Prolonged Courses of Nirmatrelvir/Ritonavir.,"The optimum treatment for persistent infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is not known. Our case series, across 5 hospitals in 3 countries, describes 11 cases where persistent SARS-CoV-2 infection was successfully treated with prolonged courses (median, 10 days [range, 10-18 days]) of nirmatrelvir/ritonavir (Paxlovid). Most cases (9/11) had hematological malignancy and 10 (10/11) had received CD20-depleting therapy. The median duration of infection was 103 days (interquartile range, 85-138 days). The majority (10/11) were hospitalized, and 7 (7/11) had severe/critical disease. All survived and 9 of 11 demonstrated viral clearance, almost half (4/9) of whom received nirmatrelvir/ritonavir as monotherapy. This case series suggests that prolonged nirmatrelvir/ritonavir has a role in treating persistent infection.","[('severe acute respiratory syndrome', 'disease', 52, 85), ('sars-cov-2 infection', 'disease', 215, 235), ('hematological malignancy', 'disease', 382, 406)]"
