article_id,article_title,abstract_text,annotations
37463234,Relative Age Effects and Self-Organized Sport Practices Among Adults.,"Given that previous research on relative age effects (RAEs) has only focused on organized sport, the aim of this exploratory study was to examine whether this phenomenon also existed among self-organized practitioners. In relation to that, a second aim was to know whether self-organized sport practices could be favored by late-born practitioners as a result of a strategic adaptation.  Representative sub-samples of 474 soccer players, 363 basketball players, 2,536 swimmers, 1,788 strength training practitioners, 1,873 pétanque players, 973 table tennis players and 2,136 runners were analyzed.  The results did not show any significant RAEs, including in sport practices that are sensitive to this phenomenon such as soccer or basketball. The results did not show any significant overrepresentation of late-born people either.  This study suggests that self-organized sport practices are not impacted by the RAEs. This finding is interesting because self-organized sport practice is the most important one in numbers.","[('soccer', 'sport', 422, 428), ('basketball', 'sport', 442, 452), ('strength training', 'sport', 484, 501), ('pétanque', 'sport', 523, 531), ('table tennis', 'sport', 545, 557), ('soccer', 'sport', 722, 728), ('basketball', 'sport', 732, 742)]"
37600398,Stakeholder governance and sustainability in football: A bibliometric analysis.,"This study presents a bibliometric analysis of stakeholder governance and sustainability in football. The PRISMA statement and the main techniques from the existing bibliometric analysis toolbox are applied to guide the research. The analysis includes 127 documents from Scopus and WoS, covering the period from 2007 to mid-2023, to examine the performance analysis and science mapping of the subject over time. The study's key findings highlight publication-related metrics, citation-and-publication-related metrics, co-authorship analysis, and co-word analysis. The analysis also identifies research gaps, including the need to explore barriers to stakeholder governance in football, the application of stakeholder pressure frameworks in football clubs, the examination of mimetic and normative pressures in the context of sustainability and governance in football, and the involvement of stakeholders and football institutions in collaborative efforts to enhance the effectiveness and impact of sustainability initiatives.","[('football', 'sport', 92, 100), ('football', 'sport', 676, 684), ('football', 'sport', 740, 748), ('football', 'sport', 858, 866), ('football', 'sport', 908, 916)]"
37436362,"Beyond Suppressing Testosterone: A Categorical System to Achieve a ""Level Playing Field"" in Sport.","Regulations implemented by World Athletics (WA) require female athletes with differences of sexual development to suppress their blood testosterone levels in order to participate in certain women's sporting competitions. These regulations have been justified by reference to fairness. In this paper, we reconstruct WA's understanding of fairness, which requires a ""level playing field"" where no athlete should have a significant performance advantage based on factors other than talent, dedication, and hard work over an average athlete in their category. We demonstrate that by placing regulations only on testosterone levels, while ignoring physical as well as socioeconomic advantages, WA consistently fails to meet its own definition of fairness. We then discuss several ways in which this definition could be met. Our analysis shows that a categorical system, in which athletes are divided into categories based on properties leading to significant performance advantages, is best suited for meeting WA's definition of fairness.","[('athletics', 'sport', 33, 42)]"
37171664,Gambling-like Features in fan Tokens.,"Fan tokens are a form of cryptocurrency that allow owners to participate in various fan-related experiences such as voting on the music to be played during half-time breaks in sporting events. Since 2020, many elite sport teams have issued fan tokens, allegedly as a way to engage with fans and hear their voice. However, fan tokens also raise some concerns. They are largely gamified digital items that intend to keep fans within the providers' app. Also, they can be traded in exchange platforms, which arguably transform them into collectibles, whose value can vary over time. Here, we explore fan tokens through a case study from a football (soccer) club (i.e., an F.C. Barcelona fan token). Drawing on literature from situational and structural characteristics of gambling, we analyse the gambling-like features that fan tokens include in their product design. Such features are discussed from a public health perspective, comparing what they mean in gambling contexts and how potentially harmful they could be for fan token holders.","[('football', 'sport', 636, 644), ('soccer', 'sport', 646, 652)]"
37552715,Repeated stroboscopic vision training improves anticipation skill without changing perceptual-cognitive skills in soccer players.,"In this study we aimed to analyze the repeated effect of stroboscopic vision training on perceptual-cognitive skills in soccer players. A total of 28 male soccer players participated in this experimental and randomized study with parallel groups. The soccer players were pair-matched according to perceptual-cognitive skills and randomized into two groups: Stroboscopic vision training and Control. Multiple object tracking, anticipation, and decision-making skills were measured before and after the 8-week intervention. An increase in multiple object tracking ( < 0.05) and decision-making skills ( < 0.05) from baseline to post-experiment was found in both groups without main group effect ( > 0.05). The findings showed an increase in anticipation skill from baseline to post-experiment in both groups ( < 0.05), with higher anticipation skill for the stroboscopic group than in the control group post-experiment ( < 0.05). Thus, we conclude that repeated stroboscopic vision training could improve anticipation skill in soccer athletes.","[('soccer', 'sport', 120, 126), ('soccer', 'sport', 155, 161), ('soccer', 'sport', 251, 257), ('soccer', 'sport', 1025, 1031)]"
37248567,Red blood cell omega-3 fatty acid content is negatively associated with purposeful gameplay header frequencies in collegiate women soccer players: Implications for diet and brain health.,"Frequent soccer heading negatively affects brain health. Omega-3 fatty acids are neuroprotective against head impacts. A biomarker of omega-3 tissue status, red blood cell (RBC) omega-3 content is reduced during soccer activity. However, whether these changes are associated with frequent heading impacts is unknown.  Explore the association between soccer heading frequencies and RBC omega-3 status.  A prospective cohort study in collegiate women soccer players (  =  16). Players' RBC omega-3 status, Omega-3 Index, and self-reported gameplay header frequencies collected during a competitive season.  Mean Omega-3 Index (i.e., pre/postseason) was low (3.95  ±  0.44%). Postseason Omega-3 Index negatively correlated (  =  -0.545,   =  0.029) with heading frequencies. Change in Omega-3 Index negatively correlated (  =  -0.663,   =  0.005) with average headers per game.  RBC omega-3 status is negatively influenced by frequent soccer heading throughout a competitive season which may have concerning implications for player brain health.","[('soccer', 'sport', 9, 15), ('soccer', 'sport', 212, 218), ('soccer', 'sport', 350, 356), ('soccer', 'sport', 449, 455), ('soccer', 'sport', 932, 938)]"
37665863,No relevant spectator impact on home advantage in male and female professional volleyball - A longitudinal multilevel logistic model analysis over 25 years.,"Home advantage (HA) regularly occurs in volleyball (Pollard et al., 2017: men: 56.62%, women: 55.26%). Research to date has investigated primarily small samples of mostly female matches and not looked into the potential impact of spectators on HA. This archival analysis uses multilevel modelling to examine HA in professional German volleyball (men & women) over 25 seasons in all regular and play-off matches (N = 6,833). We analyze how spectators drive HA and whether this projects to the COVID-19 season 2020/21. When intercepts varied between teams (2-level model, ICC = 27%), the winning probability increased when playing at home (men: 57.01%, OR = 2.39, d = 0.48; women: 55.39%, OR = 2.19, d = 0.43), while controlling for team strength, interaction with gender, and travelling distance. More spectators had a negligible effect on the men's and women's chances (|d| < 0.07). Similar trends were observed for the probability of winning sets. Contrary to other team sports (e.g., soccer), there is no HA-development over the last decades.","[('). researc', 'sport', 100, 110), ('on ha. thi', 'sport', 241, 251), ('soccer', 'sport', 986, 992)]"
36730279,Inter e intra-variability of the best ranked teams: A network analysis in male high-level volleyball.,"The present research objective was to analyze the offensive phase from Complex I in high-level male volleyball teams in a macro- and micro-level view, through the inter e intra-team variability analysis of eight best teams of the 2018 Men's Volleyball World Championship over the social network analysis and eigenvector centrality. The sample consisted of 22 matches and 2,743 offensive actions, resulting in 8 sub-networks with 368 nodes and 6221 edges. The results showed from macro view the variables that presented highest centrality values were Attack Zone 4 (range 0.56-0.90), Attack Tempo 2 (0.65-0.87), Power Attack (0.62-0.94), No Touch Block (0.61-1), Attack Effect Continuity (0.59-0.94), and Middle Blocker Centralized (0.60-0.95). In a micro view, Reception Effect, Play Position, Reception Zone, and Block Composition showed high variability in each sub-network. The intra- and inter-team variability presented the importance of to respect each team idiosyncrasies and to consider the different approaches to the game and success.","[('volleyball', 'sport', 100, 110), ('volleyball', 'sport', 241, 251)]"
37983926,An unexpected shift in constant year effects in female elite handball.,"One of the most convincing studies about the importance of the cutoff date in relative age effects was when Helsen et al. (2000) showed that a shift in the date directly resulted in a change of birth month distributions in soccer. Over the past four decades, the role of the birth year has also been associated with relative age effects (as reflected in constant year effects). In this investigation, two studies attempted to replicate the shift of birth year distributions caused by a change in birth years in international female handball. In Study 1, the results from the female handball world championship 2017 showed a significant within-year effect overall and a constant year effect for players born 1988 and after. A second study was conducted with female players from world championships in 2009, 2011, 2013, and 2015. Results demonstrated small effect sizes for most tests. However, there was an unexpected trend toward a constant year effect shift at the age of 28 years. Several hypotheses are presented as an explanation for this trend.","[('soccer', 'sport', 223, 229), ('handball', 'sport', 532, 540)]"
37457853,Streaming the beautiful game: exploring big tech's growing presence in the soccer industry.,"This study investigates the evolving role of major technology corporations-namely, Amazon, Apple, Microsoft, Facebook, Netflix, and Google-in the sports industry, with a specific focus on soccer. By employing a qualitative content analysis of media reports, scientific literature, and annual reports from 2000 to 2021, the research scrutinizes the varying approaches and investments of these tech giants in the domain of sports. The findings classify these companies into three distinct categories: (1) those actively securing broadcast rights for major competitions and leagues (Google, Facebook, Amazon); (2) those primarily producing and disseminating soccer documentaries (Netflix); and (3) those not directly engaging in media rights but advancing the technological aspects of clubs and leagues (Apple and Microsoft). This study underscores the escalating significance of Big Tech in reshaping the sports media landscape and calls for further research to comprehend the broader implications of their presence in sports broadcasting and fan engagement.","[('soccer', 'sport', 188, 194), ('soccer', 'sport', 655, 661)]"
