article_id,article_title,abstract_text,annotations
37991553,Imaging of muscle injuries in soccer.,"Accurate diagnosis of muscle injuries is a challenge in everyday clinical practice and may have profound impact on the recovery and return-to-play decisions of professional athletes particularly in soccer. Imaging techniques such as ultrasound and magnetic resonance imaging (MRI), in addition to the medical history and clinical examination, make a significant contribution to the timely structural assessment of muscle injuries. The severity of a muscle injury determined by imaging findings has a decisive influence on therapy planning and affects prognosis. Imaging is of high importance when the diagnosis or grade of injury is unclear, when recovery is taking longer than expected, and when interventional or surgical management may be needed. This narrative review will discuss ultrasound and MRI for the assessment of sports-related muscle injuries in the context of soccer, including advanced imaging techniques, with the focus on the clinical relevance of imaging findings for the prediction of return to play.","[('muscle injuries', 'disease', 22, 37), ('soccer', 'sport', 198, 204), ('muscle injuries', 'disease', 414, 429), ('muscle injury', 'disease', 449, 462), ('muscle injuries', 'disease', 841, 856), ('soccer', 'sport', 875, 881)]"
38008754,Presurgical perspective and postsurgical evaluation of acromioclavicular joint instability.,"Acromioclavicular joint (ACJ) dislocations are a common cause of pain in patients of any age. Athletes who participate in contact sports, such as hockey, football, rugby, and soccer, are particularly susceptible to such injuries. The ACJ has an important role in the function of the upper limb, and its complexity of movement makes it susceptible to acute injuries and chronic dysfunction with debilitating effects that must be treated appropriately and promptly to preserve function. Recently, ACJ has received increasing attention due to the development of new surgical techniques for the restoration of normal function and stability. There is some agreement about the treatment of ACJ dislocations, but controversy remains about the treatment of Rockwood grade III dislocations, and a new approach to these injuries is suggested by ISAKOS. Overall, the paper summarizes new concepts in the anatomy of the ACJ and reviews the utility of imaging methods in ACJ dislocations as well as their treatment and complications.","[('acromioclavicular joint (acj) dislocations', 'disease', 0, 42), ('hockey', 'sport', 146, 152), ('football', 'sport', 154, 162), ('rugby', 'sport', 164, 169), ('soccer', 'sport', 175, 181), ('chronic dysfunction', 'disease', 369, 388), ('acj dislocations', 'disease', 684, 700), ('rockwood grade iii dislocations', 'disease', 749, 780), ('acj dislocations', 'disease', 958, 974)]"
37314437,The psychological effects of sports disruptions in NCAA Division I and II athletes during the COVID-19 pandemic: a mixed methods analysis.,"Improving mental health outcomes in college athletics requires better understanding of how student-athletes respond to stress-inducing events.Using a cross-sectional design, this study aimed to assess student-athletes' mental health status during the COVID-19 pandemic. Eligible participants (N.=489) included Division I and II student-athletes at least 18 years of age with plans to compete in the 2020-2021 sport season. Participants completed an online battery of psychological health surveys.Survey results suggested high psychological strain (APSQ: 20.58±8.08), mild symptoms of anxiety (GAD-7: 7.66±5.51) and depression (PHQ-9: 7.51±5.65), and burnout (ABQ: 2.37±0.96).A subset of student-athletes reported symptoms of psychological strain, depression, and anxiety warranting follow-up clinical evaluation and/or treatment according to scoring guidelines. Findings encourage psychological screening, particularly during sport-disrupting events, to better support athletes' mental health during high-stress conditions.","[('athletics', 'sport', 44, 53), ('covid-19 ', 'disease', 251, 260), ('anxiety', 'disease', 584, 591), ('depression', 'disease', 615, 625), ('burnout', 'disease', 650, 657), ('depression', 'disease', 747, 757), ('anxiety', 'disease', 763, 770)]"
37081074,"Comparison of the neuromuscular response to three different Turkish, semi-professional football training sessions typically used within the tactical periodization training model.","This study examined the neuromuscular responses to three typical football (soccer) training sessions and the reliability of peak speed (PS) measured during a submaximal running test (SRT) for identifying neuromuscular fatigue (NMF) status. Jump height (CMJ) and peak velocity (CMJ) were collected from a CMJ test, while peak speed (PS) was collected during an SRT before and after each training session. Large effect size (ES) decreases were observed in each variable post-training (ES; - 1.42 to - 2.32). Significant differences (> 0.001) were detected between each football session's external load variables. Coefficients of variations were small (< 10%) with moderate (CMJ; 0.53, PS; 0.44) and strong (CMJ; 0.72) intraclass correlation coefficients between pre-test measures. The demands of each football session aligned with the principles of tactical periodization and were sufficient to produce the fatigue necessary to elicit physiological adaptations. PS was also shown to be a viable measure of monitoring NMF status.","[('football', 'sport', 65, 73), ('soccer', 'sport', 75, 81), ('neuromuscular fatigue', 'disease', 204, 225), ('nmf', 'disease', 227, 230), ('football', 'sport', 567, 575), ('football', 'sport', 799, 807), ('nmf', 'disease', 1015, 1018)]"
37782398,Isolated distal grade III lateral collateral ligament injury: what is the real clinical impact in professional athletes?,"The isolated III grade lateral collateral ligament injuries are rare, and there is limited literature available on their management. We report 3 cases of professional soccer players with isolated distal lateral collateral ligament III grade injury, confirmed by MRI studies. After undergoing MRI examinations, all three players resumed competitive activity without resting and experienced no consequences regarding joint stability. We assessed the significance of the lateral collateral ligament in providing lateral stabilization to the knee joint in professional footballers with clinical tears of the lateral collateral ligament. The other structures of posterolateral area that remain intact contribute to joint stability, and the lateral collateral ligament's extra-articular position appears to expedite the ligament's healing process. Therefore, we propose a possible conservative treatment approach, mostly for professional athletes and adolescent patients, involving a rehabilitation plan without the need for surgery.","[('lateral collateral ligament injuries', 'disease', 23, 59), ('soccer', 'sport', 167, 173), ('distal lateral collateral ligament iii grade injury', 'disease', 196, 247), ('tears of the lateral collateral ligament', 'disease', 591, 631)]"
37142260,Lateral Compartment Syndrome From Inversion Injury.,"A 17-year-old male presented for the evaluation of right calf pain after an inversion ankle sprain sustained while playing soccer 24 hours prior. On exam, he exhibited swelling and tenderness to palpation over his right calf, mild first web space numbness, and compartment pressures <30 mmHg. Magnetic resonance imaging was significant for findings of lateral compartment syndrome (CS). Upon admission, his exam worsened, prompting an anterior and lateral compartment fasciotomy. Intraoperative findings were significant for lateral CS, with findings of avulsed, nonviable muscle with associated hematoma. Postoperatively the patient had mild foot drop, which improved with physical therapy. Lateral CS rarely develops from an inversion ankle sprain. This presentation of CS is unique due to its mechanism, delayed clinical presentation, and limited signs of CS. Providers should maintain a high index of suspicion for CS in patients with this injury complex and continued pain beyond 24 hours without signs of ligamentous injury.","[('calf pain', 'disease', 57, 66), ('inversion ankle sprain', 'disease', 76, 98), ('soccer', 'sport', 123, 129), ('lateral compartment syndrome', 'disease', 352, 380), ('cs', 'disease', 382, 384), ('cs', 'disease', 533, 535), ('hematoma', 'disease', 596, 604), ('cs', 'disease', 700, 702), ('inversion ankle sprain', 'disease', 727, 749), ('cs', 'disease', 772, 774), ('cs', 'disease', 859, 861), ('cs', 'disease', 919, 921), ('ligamentous injury', 'disease', 1011, 1029)]"
36729891,Bilateral Ischial Tuberosity Stress Fractures in an Adolescent Football Player: A Case Report.,"Pelvic stress fractures are rare, making up an estimated 1% to 7% of all stress fractures with the primary locations being the pubic rami, pubic symphysis, and sacrum. Two cases of stress fractures of the ischium have been previously described in the literature, with both occurring in the ischial body. In this case, a 17-year-old high school American football player presented with nonspecific pelvic pain and bilateral point tenderness on deep palpation of the ischial tuberosities. Advanced imaging identified bilateral ischial tuberosity stress fractures. This report outlines the diagnosis and management of the first reported case of bilateral ischial tuberosity stress fractures. We report how ischial tuberosity stress fractures present clinically, potential management strategies, and highlight the use of computed tomography imaging for pelvic stress fractures. Knowledge of unusual stress fracture locations may improve early diagnosis, limit complications, reduce healthcare costs, and promote an accelerated recovery time.","[('pelvic stress fractures', 'disease', 0, 23), ('stress fracture', 'disease', 73, 88), ('stress fractures of the ischium', 'disease', 181, 212), ('american football', 'sport', 344, 361), ('pelvic pain', 'disease', 396, 407), ('ischial tuberosity stress fractures', 'disease', 524, 559), ('ischial tuberosity stress fractures', 'disease', 651, 686), ('ischial tuberosity stress fractures', 'disease', 702, 737), ('pelvic stress fractures', 'disease', 848, 871), ('stress fracture', 'disease', 894, 909)]"
36845166,"Sudden Cardiac Arrest in Basketball and Soccer Stadiums, the Role of Automated External Defibrillators: A Review. For the BELTRAN Study (BaskEtbaLl and soccer sTadiums: Registry on Automatic exterNal defibrillators).","Sudden cardiac arrest (SCA) during sports events has a dramatic impact on stadium-goers and the public and is often associated with poor outcomes unless treated with an automated external defibrillator (AED). Despite this, stadiums vary in AED use. This review aims to identify the risks and incidences of SCA, and the use of AEDs in soccer and basketball stadiums. A narrative review of all relevant papers was conducted. Athletes across all sports face an SCA risk of 1:50,000 athlete-years, with the greatest risk of SCA in young male athletes (1:35,000 person-years) and black male athletes (1:18,000 person-years). Africa and South America have the poorest soccer SCA outcomes at 3% and 4% survival. AED use on-site improves survival greater than defibrillation by emergency services. Many stadiums do not have AEDs implemented into medical plans and the AEDs are often unrecognisable or are obstructed. Therefore, AEDs should be used on-site, use clear signalling, have certified trained personnel, and be incorporated into stadiums' medical plans.","[('sudden cardiac arrest', 'disease', 0, 21), ('sca', 'disease', 23, 26), ('sca', 'disease', 306, 309), ('soccer', 'sport', 334, 340), ('basketball', 'sport', 345, 355), ('sca', 'disease', 458, 461), ('sca', 'disease', 520, 523), ('soccer', 'sport', 662, 668), ('sca', 'disease', 669, 672)]"
37435120,Considerations for Developing a Mental Health Emergency Action Plan for High School Football Programs and Athletic Departments.,"High school students in the United States are being educated during an unprecedented time of social unrest, public health concerns, and gun violence. High school student athletes can be further challenged by sports-related stressors that may lead to anxiety, burnout, depression, disordered eating, sleep difficulty, performance-based identity concerns, and substance use. High school football players, in particular, are at higher risk of concussion, musculoskeletal injury, and may feel excess pressure to compete from coaches, parents, and peers. One way to address these stressors among high school student athletes is to increase athletic department staff members' awareness of the symptoms of mental health disorders. Increased awareness helps staff members recognize when an athlete is in crisis, as well as respond with an established mental health emergency action plan as needed. In this review article, the authors provide a blueprint by which high school personnel can more readily identify and respond to mental health emergencies among student athletes.","[('anxiety', 'disease', 250, 257), ('burnout', 'disease', 259, 266), ('depression', 'disease', 268, 278), ('disordered eating', 'disease', 280, 297), ('football', 'sport', 385, 393), ('musculoskeletal injury', 'disease', 452, 474), ('mental health disorders', 'disease', 699, 722)]"
37755838,"Soccer and Disability, Is It Possible? Analysis of the Learning and Coaching Context in Spain.","Coaching a youth soccer player is important, and the coach's role is key. Actually, there is no profile or coaching program for grassroots-soccer coaches that favor the practice of soccer and disability, according to different research and experts. The main purpose of this study is to identify and analyze the professional profile of the grassroots-soccer coach who has soccer players with disabilities (learning and coaching context). This research applies a quantitative method, specifically, non-experimental, cross-sectional, descriptive, and inferential methodology. The sample of analysis is the staff members of the professional soccer clubs of LaLigaSantander Genuine (Spain). An important result is that half of the grassroots-soccer coaches have not received specific education to coach youth soccer players with disabilities. Finally, one important conclusion of this research is that by generating a climate of trust and empathy, grassroots-soccer coaches improve the performance of their soccer players with disabilities by recognizing and understanding their emotional states.","[('soccer', 'sport', 17, 23), ('soccer', 'sport', 139, 145), ('soccer', 'sport', 181, 187), ('soccer', 'sport', 350, 356), ('soccer', 'sport', 371, 377), ('soccer', 'sport', 637, 643), ('soccer', 'sport', 737, 743), ('soccer', 'sport', 804, 810), ('soccer', 'sport', 954, 960), ('soccer', 'sport', 1002, 1008)]"
